date,imagename,height
12-02-01-15-00,NRmarshDN-12-02-01-15-00.jpg,23
12-02-01-18-15,NRmarshDN-12-02-01-18-15.jpg,20
12-02-02-03-00,NRmarshDN-12-02-02-03-00.jpg,21
12-02-02-04-45,NRmarshDN-12-02-02-04-45.jpg,31
12-02-02-07-32,NRmarshDN-12-02-02-07-32.jpg,25.2
12-02-02-08-30,NRmarshDN-12-02-02-08-30.jpg,18
12-02-02-18-00,NRmarshDN-12-02-02-18-00.jpg,19
12-02-03-05-15,NRmarshDN-12-02-03-05-15.jpg,38.2
12-02-03-06-45,NRmarshDN-12-02-03-06-45.jpg,41
12-02-03-09-30,NRmarshDN-12-02-03-09-30.jpg,25
12-02-03-17-15,NRmarshDN-12-02-03-17-15.jpg,37.5
12-02-03-19-30,NRmarshDN-12-02-03-19-30.jpg,34.3
12-02-04-04-00,NRmarshDN-12-02-04-04-00.jpg,25.4
12-02-04-07-30,NRmarshDN-12-02-04-07-30.jpg,48
12-02-04-09-00,NRmarshDN-12-02-04-09-00.jpg,40.1
12-02-04-12-00,NRmarshDN-12-02-04-12-00.jpg,14.7
12-02-04-18-00,NRmarshDN-12-02-04-18-00.jpg,46.6
12-02-04-19-15,NRmarshDN-12-02-04-19-15.jpg,54.3
12-02-04-22-30,NRmarshDN-12-02-04-22-30.jpg,25.2
12-02-05-04-15,NRmarshDN-12-02-05-04-15.jpg,19
12-02-05-06-30,NRmarshDN-12-02-05-06-30.jpg,56.2
12-02-05-08-00,NRmarshDN-12-02-05-08-00.jpg,68.2
12-02-05-09-45,NRmarshDN-12-02-05-09-45.jpg,49.8
12-02-05-12-30,NRmarshDN-12-02-05-12-30.jpg,18.9
12-02-05-18-00,NRmarshDN-12-02-05-18-00.jpg,31.2
12-02-05-20-00,NRmarshDN-12-02-05-20-00.jpg,52
12-02-05-23-15,NRmarshDN-12-02-05-23-15.jpg,22
12-02-06-06-00,NRmarshDN-12-02-06-06-00.jpg,50.3
12-02-06-09-00,NRmarshDN-12-02-06-09-00.jpg,80.2
12-02-06-11-45,NRmarshDN-12-02-06-11-45.jpg,47.9
12-02-06-14-30,NRmarshDN-12-02-06-14-30.jpg,19.8
12-02-06-17-30,NRmarshDN-12-02-06-17-30.jpg,36.7
12-02-06-19-30,NRmarshDN-12-02-06-19-30.jpg,68.6
12-02-06-22-15,NRmarshDN-12-02-06-22-15.jpg,48.9
12-02-07-00-45,NRmarshDN-12-02-07-00-45.jpg,26.2
12-02-07-06-30,NRmarshDN-12-02-07-06-30.jpg,44.5
12-02-07-09-15,NRmarshDN-12-02-07-09-15.jpg,79.5
12-02-07-12-15,NRmarshDN-12-02-07-12-15.jpg,50.2
